"interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue"
"6.13","6.22","46.9323780167423","19.8101488366223","2.36910779438366","1.24434384268314","0.577900168843876","0.577900168843876","1","A","0","0"
"6.22","6.31","49.5620699844446","19.7929264270253","2.50402941511329","1.3242515098699","0.600643668974329","0.600643668974329","1","A","0","0"
"6.31","6.4","51.8429210182639","19.7732734801775","2.62186840586794","1.3905952771058","0.618592604509851","0.618592604509851","1","A","0","0"
"6.4","6.49","53.7768534265296","19.7511855603011","2.72271521435241","1.44504608986321","0.632719575397148","0.632719575397148","1","A","0","0"
"6.49","6.58","55.382224644243","19.7266591805803","2.80748119269802","1.48927635805164","0.643808833839778","0.643808833839778","1","A","0","0"
"6.58","6.67","56.6915226392998","19.6996918124966","2.87778728616137","1.5249599581166","0.652510800638819","0.652510800638819","1","A","0","0"
"6.67","6.76","57.7487559401606","19.6702818945732","2.93583773987971","1.55377223441418","0.659381720448565","0.659381720448565","1","A","0","0"
"6.76","6.85","58.6068587338819","19.6384288405144","2.98429468109867","1.57739000006006","0.664912447710476","0.664912447710476","1","A","0","0"
"6.85","6.94","59.3253776964469","19.6041330467247","3.02616685752184","1.59749153741671","0.669548955136297","0.669548955136297","1","A","0","0"
"6.94","7.03","59.9684850617365","19.5673962375905","3.06471460656233","1.61575273301311","0.673705343440872","0.673705343440872","1","A","0","0"
"7.03","7.12","60.594096134371","19.5282417306484","3.10289564058766","1.63361517564894","0.677720389007151","0.677720389007151","1","A","0","0"
"7.12","7.21","61.2379310417617","19.4867452599005","3.14254280153064","1.6519323943309","0.681786354822938","0.681786354822938","1","A","0","0"
"7.21","7.3","61.9207744032887","19.4430169161471","3.18473077868202","1.67117141936485","0.686001715845556","0.686001715845556","1","A","0","0"
"7.3","7.39","62.6630466858926","19.3971694146858","3.23052530739098","1.69176877691544","0.690452819635202","0.690452819635202","1","A","0","0"
"7.39","7.48","63.4862255772429","19.3493152651064","3.28105799649307","1.71416109538436","0.695220260943623","0.695220260943623","1","A","0","0"
"7.48","7.57","64.4130747258165","19.299566659523","3.3375399490658","1.73878510540669","0.700378118236486","0.700378118236486","1","A","0","0"
"7.57","7.66","65.4679515358177","19.2480353668748","3.40127967805409","1.76607763984531","0.705993010086101","0.705993010086101","1","A","0","0"
"7.66","7.75","66.6772042827643","19.1948326333205","3.47370594766316","1.79647563378254","0.712123013557689","0.712123013557689","1","A","0","0"
"7.75","7.84","68.0696721868785","19.1400690887362","3.55639636781338","1.83041612450831","0.718816493839003","0.718816493839003","1","A","0","0"
